carrier,from_airport,to_airport,,long,lat,wac
SY,Deir Zzor,OSDZ,,40.175961,35.285374,700
SY,Bassel Al Assad Intl,OSLK,,35.948681,35.401094,157
SY,Tabqa,OS59,,38.566839,35.754733,1050
SY,Aleppo Intl,OSAP,,37.224358,36.180675,1276
SY,As Suwayda West,OS60,,36.412889,32.705203,2460
SY,Dumayr,OS61,,36.748956,33.609622,2060
SY,Jirah,OS62,,37.936461,36.096744,1145
SY,Marj Ruhayyil,OS63,,36.457447,33.286506,2190
SY,Damascus Intl,OSDI,,36.514267,33.410636,2020
SY,An Nasiriyah,OS64,,36.866636,33.919039,2727
SY,Shayrat,OS65,,36.909036,34.490267,2644
SY,Rasin El Aboud,OS66,,37.583186,36.187106,1207
SY,Kamishly,OSKL,,41.191394,37.020625,1480
SY,Mezze,OS67,,36.223422,33.477506,2407
SY,Palmyra,OSPR,,38.316889,34.557361,1322
SY,Sayqal,OS68,,37.213897,33.682408,2300
SY,Khalkhalah,OS69,,36.55235,33.061375,2310
SY,Al Qusayr,OS70,,36.572833,34.569056,1768
SY,Minakh,OS71,,37.0415,36.521617,1613
SY,Tiyas,OS72,,37.629942,34.522569,1805
SY,Al Al,OS73,,35.717964,32.786694,1214
SZ,Ambri,LSPM,,8.689777,46.512501,3241
SZ,Payerne,LSMP,,6.915058,46.843208,1465
SZ,Buochs,LSMU,,8.39915,46.974914,1475
SZ,Lugano,LSZA,,8.910578,46.004275,915
SZ,Saanen,LSGK,,7.250834,46.487499,3307
SZ,St Gallen Altenrhein,LSZR,,9.560775,47.485033,1306
SZ,Sion,LSGS,,7.326764,46.219592,1585
SZ,St Stephan,LSTS,,7.412572,46.497442,3304
SZ,Alpnach,LSMA,,8.284167,46.943889,1460
SZ,Geneva Cointrin,LSGG,,6.10895,46.238064,1411
SZ,Emmen,LSME,,8.305117,47.092369,1400
SZ,Mollis,LSMF,,9.064831,47.078872,1485
SZ,Zurich,LSZH,,8.549167,47.464722,1416
SZ,Bern Belp,LSZB,,7.497153,46.9141,1674
SZ,Dubendorf,LSMD,,8.648231,47.398644,1470
SZ,Samedan,LSZS,,9.884106,46.534075,5600
SZ,Meiringen,LSMM,,8.11,46.743333,1895
SZ,Grenchen,LSZG,,7.417189,47.181628,1411
SZ,Les Eplatures,LSGC,,6.792836,47.08385,3368
TD,Piarco,TTPP,,-61.337242,10.595369,58
TD,Crown Point,TTCP,,-60.832194,11.149658,38
TH,Nakhon Ratchasima,VTUQ,,102.312736,14.949497,765
TH,Chumphon,VTSE,,99.361706,10.7112,18
TH,Roi Et,VTUV,,103.773797,16.116761,451
TH,Krabi,VTSG,,98.988764,8.095969,93
TH,Nakhon Si Thammarat,VTSF,,99.944725,8.539617,13
TH,Nakhon Phanom,VTUW,,104.643022,17.383794,587
TH,Phetchabun,VTPB,,101.195108,16.676028,450
TH,Suvarnabhumi Intl,VTBS,,100.747283,13.681108,5
TH,Trat,VTBO,,102.318958,12.274572,105
TH,Khon Kaen,VTUK,,102.783661,16.466628,670
TH,Sak Long,VTPL,,101.251389,16.824322,500
TH,U Taphao Intl,VTBU,,101.005028,12.679944,42
TH,Hua Hin,VTPH,,99.951533,12.636225,62
TH,Mae Hong Son,VTCH,,97.975,19.301667,929
TH,Mae Sot,VTPM,,98.545056,16.699856,690
TH,Khok Kathiam,VTBL,,100.663367,14.874561,123
TH,Khunan Phumipol,VTPY,,99.057911,17.234211,492
TH,Loei,VTUL,,101.722064,17.439133,860
TH,Surat Thani,VTSB,,99.135586,9.132603,20
TH,Ubon Ratchathani,VTUU,,104.870231,15.251278,406
TH,Sa Pran Nak,VTBH,,100.643022,14.94945,95
TH,Prachuap,VTBP,,99.804667,11.788361,10
TH,Samui,VTSM,,100.062272,9.547794,64
TH,Pattani,VTSK,,101.153569,6.785458,8
TH,Lampang,VTCL,,99.504167,18.270933,811
TH,Chiang Rai Intl,VTCT,,99.882928,19.952342,1280
TH,Trang,VTST,,99.616578,7.508744,67
TH,Kamphaeng Saen,VTBK,,99.917219,14.101975,30
TH,Chiang Mai Intl,VTCC,,98.962644,18.766847,1036
TH,Sakon Nakhon,VTUI,,104.118625,17.195142,529
TH,Khorat,VTUN,,102.078639,14.934514,729
TH,Phitsanulok,VTPP,,100.279122,16.782939,154
TH,Takhli,VTPI,,100.295861,15.277306,107
TH,Phuket Intl,VTSP,,98.316872,8.1132,82
TH,Watthana Nakhon,VTBW,,102.315492,13.7688,200
TH,Cha Ian,VTSN,,99.955625,8.471147,44
TH,Songkhla,VTSH,,100.608031,7.186564,12
TH,Khao E To,VTBI,,101.379883,14.077761,80
TH,Chiang Rai,VTCR,,99.826844,19.885361,1312
TH,Hat Yai Intl,VTSS,,100.392975,6.933206,90
TH,Nakhon Sawan,VTPN,,100.136794,15.672997,113
TH,Tak,VTPT,,99.25335,16.895989,478
TH,Nan,VTCN,,100.783419,18.807914,685
TH,Narathiwat,VTSC,,101.7434,6.519922,16
TH,Bangkok Intl,VTBD,,100.60675,13.912583,9
TH,Udon Thani,VTUD,,102.788247,17.386436,579
TH,Phrae,VTCP,,100.164664,18.132169,538
TH,Rob Muang,VTUR,,103.6459,16.07035,459
TH,Nam Phong,VT85,,102.967639,16.652536,787
TH,Surin,VTUJ,,103.498256,14.868264,478
TH,Khoun Khan,VTSA,,100.080317,6.661403,18
TH,Ranong,VTSR,,98.585483,9.777622,57
TH,Buri Ram,VTUO,,103.253231,15.229539,590
TH,Sukhothai,VTPO,,99.818183,17.237992,179
TI,Isfara,UT1A,,70.675169,40.120617,2814
TI,Moskovskiy Pyandzh,UT1B,,69.646597,37.640392,1624
TI,Khorog,UT1C,,71.513336,37.502225,6700
TI,Murgab,UT44,,74.02475,38.190428,11962
TI,Gissar,UT45,,68.672464,38.512328,2379
TI,Parkhar South,UT46,,69.380833,37.469842,1450
TI,Kulyab,UTDK,,69.800111,37.983417,2293
TI,Dushanbe,UTDD,,68.825,38.543333,2575
TI,Khudzhand,UTDL,,69.694708,40.215394,1450
TK,Jags Mccartney Intl,MBGT,,-71.142311,21.444536,13
TK,Providenciales,MBPV,,-72.265886,21.773625,15
TK,South Caicos,MBSC,,-71.528528,21.515739,6
TK,North Caicos,MBNC,,-71.939561,21.917475,10
TN,Fua Amotu Intl,NFTF,,-175.149644,-21.241214,126
TN,Vavau Intl,NFTV,,-173.961717,-18.585336,236
TN,Haapai,NF,,-174.341319,-19.777006,31
TO,Gnassingbe Eyadema Intl,DXXX,,1.254511,6.165611,72
TO,Niamtougou International,DXNG,,1.09125,9.767333,1515
TP,Principe,FPPR,,7.411742,1.662936,591
TP,Sao Tome Intl,FPST,,6.712153,0.378175,33
TS,Remada,DTTD,,10.382108,32.306156,1004
TS,Carthage,DTTA,,10.227217,36.851033,22
TS,Borj El Amri,DTTI,,9.943147,36.721339,108
TS,Gabes,DTTG,,10.103333,33.876919,26
TS,Sidi Ahmed Air Base,DTTB,,9.791453,37.245447,20
TS,Habib Bourguiba Intl,DTMB,,10.754722,35.758056,9
TS,Gafsa,DTTF,,8.822503,34.422022,1060
TS,Madaniyin,DT70,,10.443975,33.350244,427
TS,El Borma,DTTR,,9.254619,31.704281,827
TS,Nefta,DTTZ,,8.110556,33.939722,287
TS,Zarzis,DTTJ,,10.775461,33.875031,19
TS,Tabarka 7 Novembre,DTKA,,8.876944,36.98,230
TS,Thyna,DTTX,,10.690972,34.717953,85
TT,Suai,WPDB,,125.286753,-9.303306,96
TT,Cakung,WPEC,,126.399389,-8.485547,1777
TT,Presidente Nicolau Lobato Intl,WPDL,,125.524719,-8.546553,25
TU,Suleyman Demirel,LTFC,,30.368397,37.855417,2835
TU,Milas Bodrum,LTFE,,27.664311,37.250611,21
TU,Agri,LTCO,,43.02715,39.654569,5462
TU,Balikesir Korfez,LTFD,,27.013833,39.554589,50
TU,Adiyaman,LTCP,,38.468936,37.731369,2216
TU,Usak,LTBO,,29.471675,38.681478,2897
TU,Carsamba,LTFH,,36.567106,41.254481,18
TU,Sabiha Gokcen,LTFJ,,29.309219,40.898553,312
TU,Mardin,LTCR,,40.631667,37.223336,1729
TU,Kahramanmaras,LTCN,,36.953411,37.538967,1723
TU,Eskisehir,LTBI,,30.582111,39.784138,2581
TU,Erzincan,LTCD,,39.527003,39.710203,3783
TU,Guvercinlik,LTAB,,32.740775,39.93495,2694
TU,Yenisehir,LTBR,,29.562569,40.255208,764
TU,Tulga,LTAO,,38.253944,38.35375,3016
TU,Balikesir,LTBF,,27.925958,39.619258,340
TU,Diyarbakir,LTCC,,40.201019,37.893897,2251
TU,Gaziemir,LTBK,,27.159353,38.319106,433
TU,Efes,LTFB,,27.329014,37.950747,10
TU,Isparta,LTBM,,30.581817,37.785369,3250
TU,Trabzon,LTCG,,39.789728,40.995108,104
TU,Konya,LTAN,,32.561861,37.979,3381
TU,Adana,LTAF,,35.280388,36.982166,65
TU,Cardak,LTAY,,29.701297,37.785567,2795
TU,Sanliurfa,LTCH,,38.847103,37.094261,1483
TU,Ataturk,LTBA,,28.814606,40.976922,163
TU,Kutahya,LTBN,,30.016872,39.426708,3026
TU,Akhisar,LTBT,,27.83386,38.808887,263
TU,Canakkale,LTBH,,26.426777,40.137722,23
TU,Bandirma,LTBG,,27.977694,40.317972,170
TU,Antalya,LTAI,,30.800461,36.898731,177
TU,Akinci,LTAE,,32.565625,40.078919,2767
TU,Batman,LTCJ,,41.116583,37.928969,1822
TU,Yalova,LTBP,,29.375728,40.684353,6
TU,Cigli,LTBL,,27.010053,38.513022,16
TU,Kars,LTCF,,43.115002,40.562222,5889
TU,Tokat,LTAW,,36.371089,40.306281,1831
TU,Incirlik Ab,LTAG,,35.425894,37.0021,238
TU,Mus,LTCK,,41.661236,38.747769,4157
TU,Siirt,LTCL,,41.840436,37.978886,2001
TU,Samandira,LTBX,,29.216539,40.992975,400
TU,Imroz,LT86,,25.890278,40.207958,46
TU,Dalaman,LTBS,,28.7925,36.713056,20
TU,Erkilet,LTAU,,35.495428,38.770386,3463
TU,Sivrihisar,LTAV,,31.365308,39.451469,3185
TU,Sivas,LTAR,,36.903497,39.813828,5236
TU,Kaklic,LTFA,,26.977406,38.517608,13
TU,Oguzeli,LTAJ,,37.478683,36.947183,2315
TU,Elazig,LTCA,,39.291417,38.606925,2927
TU,Kapadokya,LTAZ,,34.53455,38.771867,3100
TU,Etimesgut,LTAD,,32.688622,39.949831,2653
TU,Afyon,LTAH,,30.601114,38.726425,3310
